#,text,target
1,"Record numbers of users are logging in to see if Twitter is dead, ironically making it more alive than ever!",0
2,How do you make a small fortune in social media?  Start out with a large one.,1
3,"Don't wanna jinx it, but there's a chance we can keep Twitter alive",1
4,"The best people are staying, so I'm not super worried",1
5,And we just hit another all-time high in Twitter usage lol,1
6,"The media constantly writing about Twitter is driving usage to all-time highs, so it's fine by me!",1
7,Cybertruck is something special that comes along once in a long while,1
8,"Current class-action law is actually a massive tax on the American people and desperately needs reform. It is one of the reasons medication is so expensive in the USA.  Somehow, other countries do just fine without class-action law.",0
9,The actual attackers in class-action lawsuits are the law firms. They just find someone in the class to be their puppet.,0
10,We're working on something that should rank replies automatically,1
11,"SBF is ineffective altruism, but they thought he was saying he was in effective altruism. Easy misunderstanding.",0
12,Coverage of FTX meltdown is incomparably faster *and* better quality on Twitter than old-school media,1
13,"Correct. I will continue to run Twitter until it is in a strong place, which will take some time.",1
14,People have no idea how fast Twitter will evolve,1
15,Model S received the highest overall score from Euro NCAP among any vehicle tested under the current protocol,1
16,"Wait a second, how do we know you're not an alien body snatcher pretending to be Jimmy!?   Say something that only the real Jimmy would say",0
17,"To heir is human, to forgive, divine (something like that)",1
18,"LIVE NOW: The Artemis era of exploration begins today with  I, the first integrated test flight of the rocket",1
19,"The Guardian used to have balance (moderately left) and integrity, but now it is a far left wing propaganda machine. I hope they get back to where they were one day.",0
20,"My apologies, this will be fixed within a week, two at most",0
21,Agreed. What will matter in the future is how many Verified followers you have.,1
22,Hard to say who's celeb & who isn't. Being able to sort by follower count & disallowing deliberate impersonation probably solves this.,1
23,All unpaid legacy Blue checkmarks will be removed in a few months,0
24,"With new release, changing your verified name will cause loss of checkmark until name is confirmed by Twitter to meet Terms of Service",0
25,Punting relaunch of Blue Verified to November 29th to make sure that it is rock solid,1
26,"Much appreciated, SpaceX will not let NASA down!",1
27,Important to admit when I'm wrong & firing them was truly one of my biggest mistakes,0
28,"This is just as a result of people living longer. Population collapse is already built-in, due to dramatically decreasing birth rates.",0
29,I would like to apologize for firing these geniuses. Their immense talent will no doubt be of great use elsewhere.,0
30,Server control team knows because they stop working from time to time. That’s why they have the “critical 40” list.,0
31,"True. Server side can (and has been) brute-forced, but that can't solve weak Internet connections & older phones.  Worth noting that Twitter in India &amp; many other countries is slow even on latest iPhone.",1
32,"Starlink is rebuilding the Internet in space, so maybe I know slightly more than some guy who wrote code for a website",1
33,"There are ~1200 'microservices' server side, of which ~40 are critical to Twitter working at all, according to server control team. Trimming down that 1200 number, reducing data usage, serialized trips & simplifying app are all needed to improve speed of use.",1
34,"Twitter is very slow in India, Indonesia &amp; many other countries. This is fact, not 'claim'.  10 to 15 secs to refresh homeline tweets is common. Sometimes, it doesn't work at all, especially on Android phones.  Only question is how much delay is due to bandwidth/latency/app.",0
35,"Yes, although it seemed almost impossible at times",1
36,Why is Twitter unusably slow in many countries? Seems odd that this would be bandwidth only.,0
37,"Next test is ~20 sec firing with max oxygen fill to test autogenous pressurization, possibly one more static fire, then orbital launch attempt",1
38,"This is an external analysis, not from Twitter. It is lower than Twitter's published mDAU.",0
39,"In some parts of the world, refresh takes 30 seconds",0
40,How many serial requests are made by app to refresh timeline?,1
41,And we will finally stop adding what device a tweet was written on (waste of screen space &amp; compute) below every tweet. Literally no one even knows why we did that …,0
42,Part of today will be turning off the “microservices” bloatware. Less than 20% are actually needed for Twitter to work!,1
